bo text,en text,zh text,bo commentary 1 ,en commentary 1 ,lzh commentary 1 ,bo Commentary 2,en commentary 2,lzh commentary 2
81ba4a76-3395-4cfc-a38a-0a35ddc54ca1,65a73fe9-9253-47be-a391-991f87eeb1a1,24844c0e-83ba-4087-9c28-c1d17f194fbd,73d59bd2-bec7-4e3c-9eb9-600b95d4dc2f,0b207064-3b83-4656-aca4-8e6337c661b9,f01da9be-f1a3-4123-a91b-1902a2ee33de,548cf935-2771-4532-b85b-90e5b27a10f2,9af6852c-a1c5-47ac-97a2-07f9f48ebd63,65314878-9d6b-4069-9cb2-4bc15a3f43be
073b1858-aef8-4593-9216-ac8b9918c979,b5b47ebb-c922-4801-b3b0-a1dab988a6a0,ec6d9d54-0fec-4ad4-859e-c5ec49339635,b8518fb0-ba6e-4a77-8619-1558ca70d4cb,1505e4e5-bf90-4357-9642-52a7ebf3eb06,85c537ca-adcd-4792-9aaf-79f94e266cf7,34145872-2467-40f7-bbd9-a2486eed8863,5cc8d6bb-9792-4727-bb03-9f677b534d19,6ddf2a3a-7eee-475a-8088-b07b6b7535be
9ed3b70d-3a2d-4104-b7b8-605e50785a44,853307ce-a470-48b4-a54d-742c9ee21a14,43b4441d-f531-4646-8e28-5cc206115b24,9db598bc-c687-404e-a9b1-a200974c183e,23234a7b-4e89-4f73-92d9-ea904e753b81,10ef765b-8a33-4f7a-9cf4-b111851cab21,2425a27b-4709-4a77-811d-3ddcf6ee5a5a,a9b940da-314d-4376-8e45-a5a8b6e9a1a6,ecbc309b-8277-44f3-84e0-ddabe5ebcdc6
475292d1-b748-4d8f-9166-3576ca37fef3,312e9fbf-959b-4a4a-b344-768c5dddde42,d92ac362-e3cc-4119-a1b3-f4b1836e442f,ac23b5d6-f3cf-40fa-9127-b20a6497276c,246919ec-eaf0-4980-bd7c-2bb73a2a31b0,ba6021a1-0ec3-4b2f-8f9a-f31e5f1994b7,93456b5b-4c20-4130-b420-00e744ea08df,9efaac4b-c2bf-4d6b-b6ae-c0e82b0504b4,8c8b851f-ad97-4ca0-ace0-051068b07986
4360b379-b630-404c-a6cd-4173036cbc45,e3bb36fa-7c38-4547-846e-c07afed62308,d0910ee7-c351-4bd8-b4b1-675ab1eb2a25,acf95fb1-4ab5-4ad4-a2d7-b05accc8e992,2f7db46a-042e-4e4d-a908-d219911a936c,8c1f7712-f310-4964-8469-6bfab7d7cd53,3930e027-1024-4456-a5bb-03342f521a54,c70e5db9-69e4-4063-a3bf-4fb3eff1b878,fa645c16-a161-40e7-abf2-da479f3f501b
44468dd3-2693-411b-8ac8-2b1d2018da0a,3876b7f8-7649-4770-b4f2-4033fec8365e,05bf3a86-9491-48ee-99b8-290a42c062e4,cdc1c7ff-43ba-4c24-af8c-4173d658bd07,8c7ef8fc-de9a-494b-b7d4-a9637160b611,69433ae3-28c7-4cea-bbfb-d4d90e4b2594,c152a76b-5a77-4384-9caa-85d507a630fe,064985c2-dd27-48fa-bb3b-39ea5fef01df,6d1d3189-8379-4001-ab64-d9f8c4f6a7a2
483cd518-8b78-4292-9465-c4f092bd3a02,5524af10-9e06-4cc7-8480-adf6359525c0,f51025ef-eef4-41f6-b955-850f332702fb,75215c3c-ffb2-49d7-9cce-1cf903363759,3bf91ce5-80d0-42db-b835-02853dbad6e6,c4159ce8-3069-4167-9ba3-f8f365c148c7,151e7bc0-8e86-4e74-9c04-1871f582eaa7,9abe3bb6-96aa-46db-bf57-f2a2b64419b2,05f79a15-de06-40aa-93a3-2b22c32ab017
32a9f7c2-5b5d-4f7e-b6a4-37fc838c4c60,88bc855d-345d-4186-88b6-720a78e37295,a1f3d7eb-3c10-492b-a885-420cf2387894,7144bba5-d81e-4d21-9ade-8480d0f5751d,0db4f970-185f-42fd-89b3-521cfe7fbf73,e54fcfb7-4e4f-49fd-b0eb-0ba6e5ba1bd8,ce7ab1c5-97e1-4b68-aaf0-5d03fea91391,98b3098a-8152-4951-9aba-fb03a2cca102,cd19de22-d18c-4b63-b233-f670b20b4981
f919074f-fe2c-48d8-b7b4-fff66856192f,bbb20784-c610-4f9b-877c-948e020360cb,25a81f2e-c371-439a-a8d3-5c063c00da14,ab2e0a15-e3a9-4ac5-90b7-598968ade54c,5e68d806-62fc-4198-af34-724f01572439,86f26c30-8736-4028-b098-ca80be21489c,1a8f2ac2-3e59-409d-80ba-43810eeaa112,bf87aaba-c926-493b-a31a-eecf2a2f4cb1,abf4555d-b315-4924-aa50-33ee7847be48
3cd06248-afad-4cc1-b4b3-9548ab1aa472,fed81fcd-339a-4c49-85e1-e5be3f1b08f9,c83cffc4-1ab6-4bcc-806a-233819babfe7,7dec6e2a-df1a-4991-8277-dc7f02b96381,21d9471f-43a9-4404-ade4-e7048832bfe5,5b340992-48d2-406b-b95a-798c8a9de083,aeae254a-a5f6-4051-8762-497ecbeeeae6,eb3d8284-8ca1-4e79-a931-cdc6464cabb1,1dbe3e99-f839-403e-a792-8f28daa3f13b
