_id,text_id,content,type
1c01b54d-641b-462d-95ba-a7e8a7c42558,275811ae-bb7a-4db6-b7af-feab322274c3,入菩薩行論,source
58352b63-40d0-47db-9872-e91c2ef58b7d,275811ae-bb7a-4db6-b7af-feab322274c3,梵語：菩提薩埵雜雅阿瓦打[冒-目+阿],source
a1b6fc5a-0450-429c-ab47-f5370e35e8c9,275811ae-bb7a-4db6-b7af-feab322274c3,藏語：降曲生巴覺巴那[覺/勿]巴,source
2a791132-7327-4cd7-967f-db2b161415c3,275811ae-bb7a-4db6-b7af-feab322274c3,頂禮一切諸佛菩薩,source
60dc42bf-0309-4d89-89af-9f170a020b79,275811ae-bb7a-4db6-b7af-feab322274c3,善逝具足法身及佛子 <br> 一切應禮敬處敬禮已 <br> 如來勝子律儀趣入處 <br> 遵依經教總攝當宣說,source
d08c7c3d-3653-4e7a-94d3-0b972e3e7e2e,275811ae-bb7a-4db6-b7af-feab322274c3,昔所未聞此中既未述 <br> 韻音善巧亦非我所能 <br> 故我亦非意樂為利他 <br> 唯為自心煉修造斯論,source
823f580b-5eec-48ee-af96-c51741edf2b0,275811ae-bb7a-4db6-b7af-feab322274c3,為修善法我心淨信力 <br> 因作斯論萬一能增長 <br>與我根機相等餘有情 <br> 由見斯論或能成義利,source
a1649a4d-66e3-4b5f-9c92-78211dbd36d2,275811ae-bb7a-4db6-b7af-feab322274c3,暇滿此身獲得甚艱難 <br> 士夫義利即今能成辦 <br>若於此時不勤作饒益 <br> 後時此事何從得圓滿,source
85df4457-2ca4-4aa9-818a-1756c934982a,275811ae-bb7a-4db6-b7af-feab322274c3,猶如長夜黑暗陰雲覆 <br> 剎那電閃萬象暫顯明 <br> 如是以佛神力加持故 <br> 世人福慧萬一須臾生,source
9b883549-6de6-4e90-b385-05291c20a57d,275811ae-bb7a-4db6-b7af-feab322274c3,如是常以微弱之善根 <br> 極難對抗罪障大勢力 <br>是時若無圓滿菩提心 <br> 餘善威力何能遮彼罪,source
f7c2fcc5-c233-4ce0-8e92-3d4dcdf4c931,275811ae-bb7a-4db6-b7af-feab322274c3,於多劫中恒時作護念 <br> 諸能仁主觀見此利益 <br>無量士夫多資糧所成 <br> 勝樂由斯不難安隱得,source
24cdcdec-60d9-4c6f-ad52-7a8e027ef1ae,275811ae-bb7a-4db6-b7af-feab322274c3,百千生死苦痛欲摧壞 <br> 有情憂惱不安欲遣除 <br> 眾多百千妙樂欲受享 <br> 菩提心體常應不捨離,source
9a3f4a1e-1ad3-4189-ac77-1aef90e9cf54,275811ae-bb7a-4db6-b7af-feab322274c3,若發菩提心者剎那間 <br> 生死囹圄堅牢苦逼身 <br> 即名一切如來殊勝子 <br> 世間天人悉皆應恭敬,source
cf83fae7-ca82-4d40-89be-6de63ad7ebad,275811ae-bb7a-4db6-b7af-feab322274c3,如丹點金轉成殊勝相 <br> 將此不淨之身能轉成 <br> 希有無價大寶如來身 <br> 是故於菩提心應堅持,source
99d2154c-16b2-466c-b32a-aad664b3534c,275811ae-bb7a-4db6-b7af-feab322274c3,眾生唯一導師無量慧 <br> 善巧普觀見為極珍奇 <br> 五趣眾生欲求出離者 <br> 大寶菩提妙心應堅持,source
ed0d9946-255d-4275-996c-1e42b3b83a66,275811ae-bb7a-4db6-b7af-feab322274c3,一切餘善不久如芭蕉 <br> 一次生果凋謝不再生 <br> 菩提妙心嘉樹常茂密 <br> 與果恒時無盡輾轉增,source
